Add Pin To Net: Unknown Pin: Pin U?-7
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 100uF
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 100nf
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 10pF
Added Member To Class: ClassName=Schematic Member=Component C? 33pF
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Sheet1 Member=Component C? 20pF
Added Member To Class: ClassName=Sheet3 Member=Component R? 4K7
Add Class Member: Failed to add class member : Component U? M25
