Add Pin To Net: Unknown Pin: Pin U?-7
Added Member To Class: ClassName=Schematic Member=Component B? TS04-66-95-BK-160-SMT
Added Member To Class: ClassName=Schematic Member=Component C1 B40900B5477M000
Added Member To Class: ClassName=Schematic Member=Component C2 TAJD227K010RNJ
Added Member To Class: ClassName=Schematic Member=Component C4 47pF
Added Member To Class: ClassName=Schematic Member=Component C7 470uf
Added Member To Class: ClassName=Schematic Member=Component C8 100nf
Added Member To Class: ClassName=Schematic Member=Component C9 100nf
Added Member To Class: ClassName=Schematic Member=Component C10 100nf
Added Member To Class: ClassName=Schematic Member=Component C11 100nf
Added Member To Class: ClassName=Schematic Member=Component C13 47pF
Added Member To Class: ClassName=Schematic Member=Component C21 4.7uf
Added Member To Class: ClassName=Schematic Member=Component C22 100nf
Added Member To Class: ClassName=Schematic Member=Component C23 100nf
Added Member To Class: ClassName=Schematic Member=Component C24 1uF
Added Member To Class: ClassName=Schematic Member=Component C25 1uF
Added Member To Class: ClassName=Sheet1 Member=Component C26 20pF
Added Member To Class: ClassName=Sheet1 Member=Component C27 20pF
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 10pF
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 33pF
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 100nf
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 22uf
Added Member To Class: ClassName=Schematic Member=Component C? 100uF
Added Member To Class: ClassName=Sheet1 Member=Component C? 20pF
Added Member To Class: ClassName=Sheet1 Member=Component C? 20pF
Added Member To Class: ClassName=Schematic Member=Component D1 SS54B
Added Member To Class: ClassName=Schematic Member=Component D2 ESDA17P50-1U1M
Added Member To Class: ClassName=Schematic Member=Component IC1 LM2596S-5.0
Added Member To Class: ClassName=Schematic Member=Component IC2 SY8089A
Added Member To Class: ClassName=Schematic Member=Component IC3 SY8089A
Added Member To Class: ClassName=Sheet1 Member=Component IC4 STM32F103C8T6XXX
Added Member To Class: ClassName=Sheet1 Member=Component IC5 MAX485CSA
Added Member To Class: ClassName=Schematic Member=Component J1 691322310004
Added Member To Class: ClassName=Sheet1 Member=Component J2 SWD
Added Member To Class: ClassName=Sheet3 Member=Component J? SIM7200-6-0-18-00-A
Added Member To Class: ClassName=Schematic Member=Component L1 SRR1260-330M
Added Member To Class: ClassName=Schematic Member=Component L2 2.2uh
Added Member To Class: ClassName=Schematic Member=Component L3 2.2uh
Added Member To Class: ClassName=Schematic Member=Component LED1 150080GS75000
Added Member To Class: ClassName=Schematic Member=Component LED? SP
Added Member To Class: ClassName=Sheet3 Member=Component Q? MMBT100
Added Member To Class: ClassName=Schematic Member=Component R1 RMCF0805FT150R
Added Member To Class: ClassName=Schematic Member=Component R2 100k
Added Member To Class: ClassName=Schematic Member=Component R3 100k
Added Member To Class: ClassName=Schematic Member=Component R4 100k
Added Member To Class: ClassName=Schematic Member=Component R5 453k
Added Member To Class: ClassName=Schematic Member=Component R6 560k
Added Member To Class: ClassName=Schematic Member=Component R7 10K
Added Member To Class: ClassName=Schematic Member=Component R8 100k
Added Member To Class: ClassName=Schematic Member=Component R9 100k
Added Member To Class: ClassName=Schematic Member=Component R10 100k
Added Member To Class: ClassName=Sheet1 Member=Component R11 120R
Added Member To Class: ClassName=Sheet1 Member=Component R12 20k
Added Member To Class: ClassName=Sheet1 Member=Component R13 20k
Added Member To Class: ClassName=Sheet1 Member=Component R14 10k
Added Member To Class: ClassName=Sheet1 Member=Component R15 10k
Added Member To Class: ClassName=Sheet1 Member=Component R16 10k
Added Member To Class: ClassName=Sheet1 Member=Component R17 10k
Added Member To Class: ClassName=Sheet1 Member=Component R18 1M
Added Member To Class: ClassName=Schematic Member=Component R? 510R
Added Member To Class: ClassName=Sheet1 Member=Component R? 10K
Added Member To Class: ClassName=Sheet3 Member=Component R? 4K7
Added Member To Class: ClassName=Sheet3 Member=Component R? 47K
Add Class Member: Failed to add class member : Component U? M25
Added Member To Class: ClassName=Sheet1 Member=Component Y1 8Mhz
Added Member To Class: ClassName=Sheet1 Member=Component Y? 32.768kHz
