Remove Pin=U1-7 From Net=PWRKEY
Change Component Designator: OldDesignator=C1 NewDesignator=C4
Change Component Designator: OldDesignator=C2 NewDesignator=C3
Change Component Designator: OldDesignator=C3 NewDesignator=C5
Change Component Designator: OldDesignator=C4 NewDesignator=C2
Change Component Designator: OldDesignator=C5 NewDesignator=C1
Change Component Designator: OldDesignator=C12 NewDesignator=C21
Change Component Designator: OldDesignator=C13 NewDesignator=C12
Change Component Designator: OldDesignator=C17 NewDesignator=C13
Change Component Designator: OldDesignator=C18 NewDesignator=C17
Change Component Designator: OldDesignator=C19 NewDesignator=C18
Change Component Designator: OldDesignator=C20 NewDesignator=C19
Change Component Designator: OldDesignator=C21 NewDesignator=C22
Change Component Designator: OldDesignator=C22 NewDesignator=C23
Change Component Designator: OldDesignator=C23 NewDesignator=C24
Change Component Designator: OldDesignator=C24 NewDesignator=C25
Change Component Designator: OldDesignator=C25 NewDesignator=C26
Change Component Designator: OldDesignator=C26 NewDesignator=C27
Change Component Designator: OldDesignator=C27 NewDesignator=C20
Change Component Designator: OldDesignator=D1 NewDesignator=D2
Change Component Designator: OldDesignator=D2 NewDesignator=D1
Change Component Designator: OldDesignator=L1 NewDesignator=L2
Change Component Designator: OldDesignator=L2 NewDesignator=L1
Change Component Designator: OldDesignator=R2 NewDesignator=R5
Change Component Designator: OldDesignator=R5 NewDesignator=R2
Change Component Designator: OldDesignator=R7 NewDesignator=R9
Change Component Designator: OldDesignator=R8 NewDesignator=R10
Change Component Designator: OldDesignator=R9 NewDesignator=R8
Change Component Designator: OldDesignator=R10 NewDesignator=R19
Change Component Designator: OldDesignator=R11 NewDesignator=R7
Change Component Designator: OldDesignator=R12 NewDesignator=R20
Change Component Designator: OldDesignator=R13 NewDesignator=R18
Change Component Designator: OldDesignator=R14 NewDesignator=R17
Change Component Designator: OldDesignator=R15 NewDesignator=R16
Change Component Designator: OldDesignator=R16 NewDesignator=R15
Change Component Designator: OldDesignator=R17 NewDesignator=R14
Change Component Designator: OldDesignator=R18 NewDesignator=R13
Change Component Designator: OldDesignator=R19 NewDesignator=R11
Change Component Designator: OldDesignator=R20 NewDesignator=R12
